pair_id,research_query_id,acquisition_query_id,openalex_id,title,doi,landing_page_url,source_query_ids,source_run_ids,openalex_id_status,doi_missing,abstract_missing,landing_page_url_missing,source_query_ids_status,source_run_ids_status,expected_acquisition_query_in_source_query_ids,metadata_matches_source,cross_rq_paper,cross_rq_research_query_ids,provenance_status,annotation_evidence_note,audit_note
w4_rq02_019,rq02_stellar_parameters,q03_parameters,https://openalex.org/W2971836485,GWTC-1: A Gravitational-Wave Transient Catalog of Compact Binary Mergers Observed by LIGO and Virgo during the First and Second Observing Runs,10.1103/physrevx.9.031040,https://doi.org/10.1103/physrevx.9.031040,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq02_020,rq02_stellar_parameters,q03_parameters,https://openalex.org/W3122729254,Probing the interior physics of stars through asteroseismology,10.1103/revmodphys.93.015001,https://doi.org/10.1103/revmodphys.93.015001,"[""q03_parameters""]","[""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq03_001,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W2745394653,Analyzing γ rays of the Galactic Center with deep learning,10.1088/1475-7516/2018/05/058,https://doi.org/10.1088/1475-7516/2018/05/058,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq03_002,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W7130819561,From classical machine learning to emerging foundation models: review on multimodal data integration for cancer research,10.1007/s10462-026-11522-9,https://doi.org/10.1007/s10462-026-11522-9,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq03_003,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W3155899199,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,10.1109/access.2021.3071801,https://doi.org/10.1109/access.2021.3071801,"[""q02_classification"",""q04_preprocessing""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,true,"[""rq01_stellar_classification"",""rq03_spectral_preprocessing""]",ok,,跨 Research Query 共现；来源记录一致，relevance 仍需按各 Query 独立判断。
w4_rq03_004,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W3103819337,Unsupervised feature-learning for galaxy SEDs with denoising autoencoders,10.1051/0004-6361/201630240/pdf,,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,true,ok,ok,true,true,false,[],ok,landing page 缺失；摘要和 DOI 仍可用于判断或外部核验。,
w4_rq03_005,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W3088227899,Machines learn to infer stellar parameters just by looking at a large number of spectra,10.1093/mnras/staa3540,https://doi.org/10.1093/mnras/staa3540,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq03_006,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W2065532082,Astrophysically robust systematics removal using variational inference: application to the first month of Kepler data,10.1093/mnras/stt1555,https://doi.org/10.1093/mnras/stt1555,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq03_007,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W4220667678,The EXPRES Stellar Signals Project II. State of the Field in Disentangling Photospheric Velocities,10.3847/1538-3881/ac5176,https://doi.org/10.3847/1538-3881/ac5176,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
w4_rq03_008,rq03_spectral_preprocessing,q04_preprocessing,https://openalex.org/W4387971543,JADES Initial Data Release for the Hubble Ultra Deep Field: Revealing the Faint Infrared Sky with Deep JWST NIRCam Imaging,10.3847/1538-4365/acf44d,https://doi.org/10.3847/1538-4365/acf44d,"[""q04_preprocessing""]","[""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",ok,false,false,false,ok,ok,true,true,false,[],ok,,
